index,context,question,answer
57,"L-ishma ta’ Apple qed jieħdu daqqa ta’ ħarta ‘l isfel wara li l-Gvern Ċiniż ipprojbixxa l-użu tal-iPhones għall-ħaddiema tal-Gvern. Il-valur fis-suq niżel għal iktar minn 6%, li tfisser madwar $200 biljun, fl-aħħar jumejn. Iċ-Ċina hi t-tielet l-akbar fis-suq tat-teknoloġija tant li tammonta għal 18% tat-total tad-dħul tas-sena l-oħra.",Min ma jistax juża iPhone fiċ-Ċina?,ħaddiema tal-Gvern
58,"Il-Ħamis waranofsinhar wasal pajjiżna l-vjolinist Olandiż ta’ fama internazzjonali André Rieu, li se jkun qed jagħti żewġ kunċerti grandjużi f’pajjiżna li se jsiru fuq il-Fosos tal-Floriana matul din tmiem il-ġimgħa … li bla dubju se jkunu milqugħa tajjeb minn eluf ta’ Maltin u Għawdxin.",Fejn saru l-kunċerti t' André Rieu f' Malta?,il-Fosos tal-Floriana
59,Is-sewwieq ta’ McLaren Oscar Piastri ġedded il-kuntratt tiegħu sat-tmiem is-sena 2026. Is-sewwieq ta’ 22 sena mpressjona mhux ftit matul dan l-istaġun u jidher li se jkun wieħed mill-aktar sewwieqa promittenti.,Ma min jtellaq Piastri?,McLaren
60,Is-sewwieq ta’ McLaren Oscar Piastri ġedded il-kuntratt tiegħu sat-tmiem is-sena 2026. Is-sewwieq ta’ 22 sena mpressjona mhux ftit matul dan l-istaġun u jidher li se jkun wieħed mill-aktar sewwieqa promittenti.,Kemm għandu żmien Oscar Piastri?,22 sena
61,Branko Nisevic rebaħ l-unur tal-aqwa kowċ tal-Kampjonat BOV Premier għall-istaġun 2022/23 mogħti fit-tieni edizzjoni tal-Malta Football Coaches Association Awards. Branko Nisevic mexxa lil Ħamrun Spartans għar-rebħ tal-Kampjonat Premier filwaqt li wassal lit-tim sal-fażi tal-play-offs tal-UEFA Europa Conference League fl-istaġun li għadda.,Liem tim jikkowċja Nisevic?,Ħamrun Spartans
62,"Arsenal kisbu rebħa ta’ 1-0 kontra Crystal Palace minkejja li lagħbu aktar minn nofs it-tieni taqsima bi player anqas. Numru ta’ ċansijiet fl-ewwel taqsima għal Arsenal permezz ta’ Eddie Nketiah li iżda kien strumentali fit-tieni taqsima biex Arsenal marru fil-vantaġġ. Kien fit-53 minuta meta minn freekick qasir Nketiah twaqqa fil-kaxxa mill-goalkeeper ta’ Crystal Palace bir-referee jordna penalty. Mill-ħdax-il metru, Martin Odegaard ma żbaljax. Arsenal sfaw jilagħbu bi player anqas fis-67 minuta meta tkeċċa Takehiro Tomiyasu.",Għaliex spiċċaw bi plejer inqas l-Arsenal?,tkeċċa Takehiro Tomiyasu
63,"Juventus mistennija jilħqu ftehim mal-UEFA sabiex ma jagħmlux parti mill-kompetizzjoni għall-istaġun li ġej, hekk kif minħabba problemi finanzjarji kif ukoll legali fejn jitħlu t-transferimenti ta’ ċertu plejers, hemm possibiltà kbira li Juventus kisru ammont ta’ regoli tal-Financial Fair Play maħruġa mill-UEFA. B’hekk, it-tmexxija ta’ Juventus mistennija tiffirma qbil ġdid mal-korp Governattiv tal-futbol Ewropew li jistqarr li Juventus mhux se jikkompetu fil-UEFA Conference League s-sena d-dieħla, filwaqt li l-klabb mhux se jappella din id-deċiżjoni lil CAS.",X' inhi l-UEFA?,korp Governattiv tal-futbol Ewropew
64,"Angel Di Maria irritorna jilgħab fil-Portugal u se jkun qed jerġa’ jilgħab ma’ Benfica. Il-bieraħ, iċ-champions fl-aħħar staġun ta’ Primeira Liga, Benfica ppreżentaw lill-Arġentin u l-partitarji ta’ As Águias tawħ merħba sabiħa. Bejn l-2008 u l-2010, Di Maria kien lagħab għal żewġ staġuni ma’ dan il-klabb Portugiz, u f’staġun minnhom kien saħansitra rebaħ il-Kampjonat domestiku. Fiż-żewġ staġuni li għamel ma’ Benfica, id-darbtejn rebaħ it-Taça da Liga, iġifieri l-League Cup Portugiża.",F' liem snin kien jilgħab ma Benfica?,Bejn l-2008 u l-2010
65,"L-istilla ta’ PSG u tat-tim nazzjonali Franċiż Kylian Mbappé informa liċ-champions Franċiżi li mhux se jkun qed jieħu l-għażla li jestendi l-kuntratt li għandu b’sena, igifieri sa’ Ġunju tal-2025. Dan ifisser li l-attakkant ta’ 24 sena jiskadielu l-kuntratt f’Ġunju tal-2024 u għalhekk ikun jista’ jingħaqad ma’ min irid b’xejn.",Meta jiskadi l-kuntratt ta' Mbappé?,f’Ġunju tal-2024
66,"Il-UEFA se tkun qed tistenna r-rapport tar-referee Anthony Taylor qabel ma tiddeċiedi l-konsegwenzi fil-konfront tal-kowċ ta’ Roma Jose Mourinho. Fi tmiem il-finali tal-Erbgħa kontra Sevilla, Mourinho stenna lit-terna arbitrali fil-parkeġġ tal-ground fejn affronta lir-referee Anthony Taylor wara numru ta’ deċiżjonijiet li skont il-kowċ Portugiż marru kontra t-tim tiegħu.",Liem tim jikkowċja Mourinho?,Roma
67,"PSG iddeċidew li jissospendu ġimgħatejn lill-istilla Arġentina Lionel Messi b’effett immedjat. Rapporti fil-media internazzjonali qed jgħidu li r-raġuni għal din is-sospensjoni hi l-vaganza mhux awtorizzata mill-klabb, li Messi ħa mal-familja tiegħu fl-Arajba Sawdija. Din is-sospensjoni se tkun qed tfisser li Messi se jkun qed jitlef żewġ logħbiet fil-Ligue 1, kontra Troyes u kontra Ajaccio.",Għaliex ġie sospiż Messi?,vaganza mhux awtorizzata mill-klabb
68,Fir-Rwanda sar it-73 Kungress tal-FIFA fejn Gianni Infantino reġa kien elett bħala President sal-2027 wara li ma kienx ikkontestat. Dan hu t-tieni mandat ta’ Infantino mogħti minn 211 assoċjazzjoni affiljati mal-FIFA.,Kemm baqalu President tal-Fifa Infantino?,sal-2027
69,Varane qal li l-fatt li kellu l-oppoertunità li jirrapreżenta lil pajjiżu għal għaxar snin kien wieħed mill-akbar unuri ta’ ħajtu. L-eks Real Madrid qal ukoll li kull darba li libes il-flokk Franċiż kien iħossu kburi wisq u li kien jimmotivaħ biex jagħti kollox.,Kemm dam jilgħab ma' Franza Varane?,għaxar snin
70,"It-timijiet nazzjonali tal-Brażil, l-Olanda, l-Portugall u l-Ingilterra se jkunu qed jieħdu 17-il miljun dollaru kull wieħed wara li rnexxielhom jaslu sal-kwartifinali tat-Tazza tad-Dinja. L-Istati Uniti, is-Senegal, l-Awstralja, Spanja, il-Ġappun, l-Iżvizzera u l-Korea t’Isfel se jkunu qed jieħdu 13-il miljun dollaru wara li waslu sal-fażi tal-aħħar sittax bit-timijiet kollha li kienu eliminati fil-fażi tal-gruppi se jirċieva 9 miljun dollaru. Ir-rebbieħ bejn Franza jew l-Arġentina se jkun qed jieħu 42 miljun dollaru filwaqt li t-tellief se jirċievi 30 miljun dollaru bit-tim li jtemm fit-tielet post jirċievi 27 miljun dollaru.",Kemm hu l-premju tal-kwartifinali tat-Tazza tad-Dinja?,17-il miljun dollaru
71,Issa uffiċjali! Il-kanzunetta Chameleon li biha Michela Pace se tkun qed tirrappreżenta lil Malta f'Tel Aviv hija l-aktar kanzunetta tal-Eurovision 2019 segwita fuq YouTube.,Fejn sar l-Eurovision Song Contest fl-2019?,Tel Aviv
72,"Tourism Capping hija sistema fejn jiġi limitat in-numru ta’ “viżitaturi”, f’dan il-każ turisti. Din il-miżura hija frekwentament implimentata f’destinazzjonijiet turisitiċi popolari sabiex jiġu mħarsa setturi sensittivi bħal-ambjent kif ukoll toffri esperjenza iktar pożittiva lit-turist minħabba li hemm limititu ta’ ‘overcrowing’, iġifieri żżomm postijiet milli jesperjenzaw influss qawwi ta’ persuni f’daqqa.",Xi tfisser Tourist Capping?,sistema fejn jiġi limitat in-numru ta’ “viżitaturi”
73,"Rigward is-sistema ta’ assesjar u kif din tgħin studenti b’kapaċitajiet differenti, id-direttur Cachia spjega kif l-assesjar se jsir parti mis-sistema tas-SEC hekk kif 30% tal-marka ta’ kull suġġett tas-SEC se jingħata fuq l-assessjar li jsir fl-iskola matul it-tliet snin, minn Year 9 sa Year 11, filwaqt li 70% se jingħataw fuq l-eżami tas-SEC fis-suġġetti li jsiru f’Year 11. Għalhekk huwa saħaq li din hija opportunità fejn filwaqt li tibqa’ l-importanza tal-eżamijiet, tingħata importanza ukoll fil-metodi oħra ta’ assessjar. Il-Prinċipal tal-MCAST ukoll għafas fuq l-importanza tal-assesjar u qal li huwa “naturali li wieħed irid bilfors jivverifika x’għerf, ħiliet u kompetenzi student akkwista fil-proċess ta’ tagħlim formali”. Filfatt, differenti mill-Università, l-MCAST tagħti importanza kbira fl-assesjar hekk kif minflok sistema ta’ eżamijiet, l-MCAST tiffuka iktar fuq l-kwalità tax-xogħol li student jippreżenta matul is-sena skolastika tiegħu milli eżamijiet biss.",Għaliex jsir l-assesjar?,"jivverifika x’għerf, ħiliet u kompetenzi student akkwista fil-proċess ta’ tagħlim formali"
74,Il-kumpanija Apple ħarġet aġġornament importanti tal-iPhone li wieħed irid jinstalla mingħajr dewmien żejjed. Bosta utenti madwar id-dinja bdew jirċievu twissija dwar update bil-għan li tipproteġi kontra hacks perikolużi.,Għaliex inħareġ aġġornament tal-iPhone?,tipproteġi kontra hacks perikolużi
75,"Din ma kienitx l-ewwel darba li Jada Pinkett Smith kienet fil-mira tal-kummidjant Rock. Imma ilbieraħ, waqt is-serata tal-Oscars, Rock għamel ċajta li il-film GI Jane kien qed jistenna bil-ħerqa il-parteċipazzjoni ta’ Pinkett Smith, referenza ovvja għax-xagħar imqaxxar tal-attriċi (Smith m’hix fil-film GI Jane). L-attriċi għandha xagħarha imqaxxar għax għandha il-kundizzjoni rari tal-Alopecia, kundizzjoni li twaqqa’ x-xagħar. Meta r-raġel tagħha, Will, irrejaliżża li il-mara tiegħu ma ħaditx iċ-ċajta tajjeb, tela’ bil-kalma fuq il-palk u mingħajr mistenni fajjar daqqa ta’ ħarta qawwija lil Chris Rock li deher maħsud għall-aħħar. Smith reġa’ mar bilqiegħda u instema’ jgħid lil Rock (darbtejn) biex lil mara tiegħu iħalliha bi kwietha “keep ma wife’s name out of your f*g mouth” B’miraklu, Rock irnexxielu ikompli bil-preżentazzjoni tiegħu għall-aqwa Dokumentarju lil mużiċist Questlove. Fi twist oħra, denja ta’ Hollywood script, Will Smith ftit wara, kellu jerġa’ jitla’ fuq l-istess palk biex jaċċetta l-Oscar tiegħu għall-Aqwa Attur għal parti li ħadem ta’ Richard Williams (missier it-tennisti – l-aħwa Williams) fil-film King Richard.",X' inhi l-Alopecia?,kundizzjoni li twaqqa’ x-xagħar
76,"RAI, l-istazzjon televiżiv li ser jorganiżża s-66 edizzjoni tal-Eurovision Song Contest żvela d-disinn tal-palk li fuqu ser jospita l-kantanti f’Mejju li ġej. It-tema għal palk li ser naraw din is-sena hija ”The Sun Within”",X' inhi t-tema tas-66 edizzjoni tal-Eurovision Song Contest?,The Sun Within
77,"David Walliams, wieħed mill-ġurija ta’ Britain’s Got Talent ser ikun il-preżentatur uffiċjali għas-serata tal-Malta Film Awards 2022, l-ewwel tat-tip tagħha f’pajjiżna. 90 Nominat qed jikkompetu fi 18-il kategorija differenti f’serata li ser titella’ fid-29 ta’ Jannar f’Dar il-Mediterran għall-Konferenzi fil-Belt Valletta. Walliams, li sal-lum narawh bħala parti mill-ġurija ta’ Britain’s Got Talent, ser imexxi s-serata li ser tiċċelebra t-talent ta’ bosta Maltin fl-industrija tal-films u t-televiżjoni. Għas-serata ser ikunu mistiedna persuni oħra internazzjonali.",X' inhuma l-Malta Film Awards?,serata li ser tiċċelebra t-talent ta’ bosta Maltin fl-industrija tal-films u t-televiżjoni
78,"Associazione Calcio Milan, komunement imsejħa AC Milan jew Milan, huwa klabb professjonist Taljan ibbażat f'Milan, il-Lombardija, li jilgħab fis-Serie A. Il-klabb twaqqaf fis-sena 1899 minn wieħed Inġliz li kien jaħdem il-bizilla;Herbert Kilpin u n-negozjant Alfred Edwards fost l-oħrajn. Il-klabb għamel l-istorja kollha tiegħu, bl-eċċezzjoni fl-istaġuni 1980-81 u 1982-83, fil-quċċata tal-Futbol Taljan, magħruf bħala s-Serie A li bdiet fl-istaġun 1929-30.",Meta ġie mwaqqaf il-klabb AC Milan?,1899
79,"L-istadju tat-tim jesa' 80,018 bilqiegħda f'San Siro, uffiċjalment magħruf bħala Stadio Giuseppe Meazza wara li l-attur qabel li kien irappreżentat kemm Milan u kemm Inter. L-aktar isem komuni użat, San Siro, huwa l-isem tad-distrett fejn l-istadju jinsab. San Siro kien l-istadju ta 'Milan mill-1926, meta kien privatament mibni mill-president ta 'Milan fil-ħin, Piero Pirelli. Il-kostruzzjoni saret minn 120 ħaddiema, u dam 13-il xagħar u nofs biex tlesta. L-istadju kien proprjetà tal-klabb sakemm ġie mibjugħ lill-kunsill tal-belt fl-1935, u mill-1947 ġiet maqsuma ma Internazionale, meta l-ewlieni Milan kien aċċettata bħala lokatorju.",X' jismu uffiċjalment l-grawnd San Siro?,Stadio Giuseppe Meazza
80,"L-Unjoni Ewropea (abbrevjata bħala UE) hija unjoni politika u ekonomika ta' 27 stat membru li jinsabu prinċipalment fl-Ewropa. L-UE ġiet stabbilita taħt l-isem attwali permezz tat-Trattat ta' Maastricht tas-7 ta' Frar 1992 (li daħal fis-seħħ fl-1 ta' Novembru 1993), liema stati aderenti ġew miżjuda wara t-triq twila tal-Komunitajiet Ewropej li kienu jeżistu qabel.",Kemm għanda membri l-UE?,27 stat membru
81,"Il-Ġnus Magħquda jew l-Organizzazjoni tan-Nazzjonijiet Uniti hija organizzazzjoni internazzjonali li l-għanijiet tagħha huma li tiffaċilita ko-operazzjoni fejn jidħlu liġijiet internazzjonali, sigurtà internazzjonali, żvilupp ekonomiku, progress soċjali, u drittijiet umani. Din l-organizzazzjoni twaqqfet fl-1945 minflok il-Lega tan-Nazzjonijiet, biex tevita gwerer bejn in-nazzjonijiet u tipprovdi lok għal djalogu.",X' ħa post il-Lega tan-Nazzjonijiet?,Il-Ġnus Magħquda jew l-Organizzazjoni tan-Nazzjonijiet Uniti
82,"L-ewwel opra tiegħu, ""Oberto"", ġiet aċċettata għall-provi f’La Scala. Wara xhur ta’ posponimenti, fl-aħħar li kienet ipproduċiet fl-1839 kienet suċċess kbir meta ppubblikah Giovanni Ricordi. Il-mużika Taljana ġiet ippublikata tant li l-kumpanija għamlet il-qligħ mill-mużika ta’ Verdi.",X' kien jisimha l-ewwel opra ta' Verdi?,Oberto
83,Il-Bitcoin (simbolu: ฿; kodiċi: BTC jew XBT) hu munita elettronika maħluqa fl-2009 minn persuna jew persuni anonimi magħrufin bil-laqam Satoshi Nakamoto. L-isem Bitcoin jirreferi wkoll għas-software bis-sors miftuħ iddisinjat biex jimplementa l-protokol ta' komunikazzjoni u għax-xibka peer-to-peer li tirriżulta minnu.,X' inhi l-Bitcoin?,munita elettronika
84,"L-Amministrazzjoni Nazzjonali tal-Ajrunawtika u l-Ispazju (NASA /ˈnæsə/) hija aġenzija indipendenti tal-gvern federali tal-Istati Uniti responsabbli għall-programm spazjali ċivili, ir-riċerka ajrunawtika u r-riċerka spazjali.",In-NASA x' xogħol tagħmel?,ir-riċerka ajrunawtika u r-riċerka spazjali.
85,"Il-Premju Nobel (bl-Iżvediż: Nobelpriset) huwa unur internazzjonali li jingħata kull sena mill-gvern Żvediż. Il-premju jingħata lil persuni li jkunu ddistingwew ruħhom fid-diversi oqsma ta' għarfien, ""li ġabu benefiċċji sostanzjali lill-umanità"" bir-riċerki, bl-iskoperti u bl-invenzjonijiet, bix-xogħol letterarju tagħhom, jew bl-impenn li urew lejn il-paċi fid-dinja.",Min jagħti l-Premju Nobel?,gvern Żvediż
86,"Howard Carter (twieled fid-9 ta' Mejju 1874 – miet fit-2 ta' Marzu 1939) kien arkeologu u Eġittologu Brittaniku. Huwa sar magħruf mad-dinja kollha wara li skopra l-qabar intatt tal-Faragħun tat-18-il dinastija, Tutankhamun f'November 1922, l-aqwa qabar tal-faragħuni ppreservat l-aħjar fil-Wied tar-Rejiet.",Min skopra l-qabar ta' Tutankhamun?,Howard Carter
87,"Faragħun huwa l-isem bibliku (Lhudi: פרעה, Grieg: φαραώ) mogħti lir-re tal-Eġittu l-Antik. L-ewwel faragħun kien Narmer, imsejjaħ Menes minn Manetun, li kien isaltan madwar is-sena 3050 QK. L-aħħar faragħun kienet mara ta' nisel Grieg, Kleopatra VII li saltnet mill-51 sat-30 QK.",Min kien l-aħħar fargħun?,Kleopatra VII
88,"L-Università ta' Malta taf il-bidu tagħha lill-Collegium Melitense li twaqqaf b'intervenzjoni diretta mill-Papa fit-12 ta' Novembru 1592, Dan il-kulleġġ kien immexxi mill-Ġiżwiti fuq l-istess linji tal-kulleġġi li kellhom f'pajjiżi oħra magħrufin bħala Collegia Externorum, għall-edukazzjoni ta' dawk li ma kinux se jsiru Ġiżwiti. Bis-saħħa ta' bolla tal-Papa Piju IV tad-29 ta' Awwissu 1561, li iktar tard ġiet ikkonfermata b'bolla oħra ta' Papa Gregorju XIII fid-9 ta' Mejju 1578, il-Ġiżwiti ngħataw l-awtorità li jikkonferixxu l-lawrji ta' Magister Philosophiae u Doctor Divinitatis. Però l-att li waqqaf il-kulleġġ speċifika li barra l-Filosofija u t-Teoloġija għandhom jiġu mgħallma wkoll suġġetti oħra bħall-Grammatika u l-istudji Umanistiċi. Il-Kulleġġ fetaħ fit-8 ta' Marzu 1593 f'dar fil-belt Valletta li kienet isservi ta' skola u reżidenza għal disa' Ġiwiti. Il-bini tal-""Collegium Melitense"" beda fl-1595. Fi żmien sentejn il-Ġiżwiti kienu diġà marru f'dal-bini ġdid.",Meta ġiet mwaqqfa l-Università ta' Malta?,12 ta' Novembru 1592
89,"Id-definizzjoni tal-kelma 'etimoloġija' tista' tiġi deskritta bħala l-istudju tal-oriġini preċiża tal-kliem semantiku (tifsir) preżenti f'lingwa. L-oriġini tat-terminu ""Malta"" hu inċert u l-varjazzjoni moderna hi derivata mil-lingwa Maltija. L-isem x'aktarx ġej mill-Grieg μέλι (meli) ('għasel'). Il-Griegi kienu jsejħu lill-gżira Μελίτη (Melite) li tfisser ""għasel"" jew ""għasel ħelu"" possibbilment minħabba l-produzzjoni ta' kwalità tal-għasel bnin Malti. Speċi endemika ta' naħal tgħix f'din il-gżira.",X' tistudja l-Etimoloġija?,l-istudju tal-oriġini preċiża tal-kliem semantiku (tifsir) preżenti f'lingwa
90,"It-Teatru Rjal (bl-Ingliż: Royal Opera House jew Royal Theatre; bit-Taljan: Teatro Reale, magħruf kollokjalment ukoll bħala t-Teatru Mwaqqa’, kien teatru fejn jittellgħu l-ispettakli fil-Belt Valletta, Malta. Kien iddisinjat mill-arkitett Ingliż Edward Middleton Barry u nbena fl-1866 bi stil Neo-Klassiku. Fl-1873 it-teatru ġarrab ħsarat estensivi fuq ġewwa minħabba li nħakem min-nirien iżda eventwalment ġie rrestawrat sal-1877. Matul it-Tieni Gwerra Dinjija, it-teatru ntlaqat direttament mill-bumbardamenti mill-ajru, eżattament fl-1942. Qabel ma ġġarraf, kien wieħed mill-iktar binjiet sbieħ u ikoniċi fil-belt kapitali. Wara diversi pjanijiet li qatt ma twettqu biex it-teatru jerġa’ jinbena, il-fdalijiet tiegħu ġew disinjati mill-ġdid mill-arkitett Taljan Renzo Piano u fl-2013 reġa’ beda jiffunzjona bħala post fejn jittellgħu l-ispettakli u ġie msemmi “Pjazza Teatru Rjal”.",Kif iġġarraf it-Teatru Rjal?,ntlaqat direttament mill-bumbardamenti mill-ajru
91,"Il-Kanali ta' Amsterdam jammontaw għal iktar minn 100 kilometru (62 mil) ta' grachten (kanali), madwar 90 gżira u 1,500 pont f'Amsterdam il-belt kapitali tan-Netherlands. It-tliet kanali prinċipali (Herengracht, Prinsengracht u Keizersgracht), imħaffra fis-seklu 17 matul l-Era tad-Deheb Olandiża, jiffurmaw ċintorini konċentriċi madwar il-belt, magħrufa bħala Grachtengordel. Tul il-kanali prinċipali hemm saħansitra 1,550 binja monumentali. Iż-żona tan-network ta' kanali tas-seklu 17, li tinkludi l-Prinsengracht, Keizersgracht, Herengracht u Jordaan, tniżżlet bħala Sit ta' Wirt Dinji tal-UNESCO fl-2010, u kkontribwiet għall-fama ta' Amsterdam bħala l-""Venezja tat-Tramuntana"".",X' laqam għanda l-belt ta' Amsterdam?,"l-""Venezja tat-Tramuntana"""
92,"Franġisku, imwieled bħala Jorge Mario Bergoglio (bil-Latin: Franciscus; Buenos Aires, 17 ta' Diċembru 1936) huwa l-266 isqof ta' Ruma u l-papa attwali tal-Knisja Kattolika, elett nhar it-13 ta' Marzu 2013. Franġisku huwa l-ewwel Papa Ġiżwita, l-ewwel wieħed mhux mill-Ewropa wara iktar minn millennju, u l-ewwel wieħed mill-kontinent Amerikan. Mill-1998 sal-elezzjoni tiegħu bħala Papa, huwa kien Arċisqof ta' Buenos Aires, fl-Arġentina, u kien inħatar kardinal fl-2001. Bin ħaddiem tal-ferrovija, Mario José, li emigra minn Asti l-Italja ta' għoxrin sena biex ifittex ħajja aħjar u biex jeħles mill-Faxxiżmu, u Regina María mwielda Sívori, mara tad-dar, Ġorġ Marija Bergoglio huwa l-ikbar minn ħames ulied. Meta kien żgħir kien imur inaddaf ġo fabbrika biex jgħin lill-familja.",X' kien jaħdem missier il-Papa Franġisku?,ħaddiem tal-ferrovija
